Cycle: 15  AE.A244  1.562_X	Cycle: 15  AE.A244  1.562_Y	Cycle: 16  AE.A244  3.125_X	Cycle: 16  AE.A244  3.125_Y	Cycle: 17  AE.A244  6.25 _X	Cycle: 17  AE.A244  6.25 _Y	Cycle: 18  AE.A244  12.5 _X	Cycle: 18  AE.A244  12.5 _Y	Cycle: 19  AE.A244  25 µg_X	Cycle: 19  AE.A244  25 µg_Y	Cycle: 20  AE.A244  50 µg_X	Cycle: 20  AE.A244  50 µg_Y	Cycle: 21  AE.A244  100 µ_X	Cycle: 21  AE.A244  100 µ_Y	Cycle: 22  AE.A244  200 µ_X	Cycle: 22  AE.A244  200 µ_Y
-60.06	0.213257	-59.96	0.201508	-59.96	0.178253	-59.96	0.0628052	-60.06	0.144653	-60.06	0.15741	-59.96	-0.0395813	-59.96	-0.19574
-59.96	0.154266	-59.86	0.0648063	-59.86	0.138428	-59.86	0.058123	-59.96	0.124329	-59.96	0.117567	-59.86	-0.105164	-59.86	-0.330488
-59.86	0.114441	-59.76	-0.0598145	-59.76	-0.0862122	-59.76	0.0565796	-59.86	-0.0151062	-59.86	-0.0531311	-59.76	-0.201294	-59.76	-0.423859
-59.76	-0.128523	-59.66	-0.145355	-59.66	-0.227234	-59.66	0.0335083	-59.76	-0.155731	-59.76	-0.167189	-59.66	-0.20636	-59.66	-0.452362
-59.66	-0.31604	-59.56	-0.144607	-59.56	-0.292099	-59.56	9.29296e-3	-59.66	-0.204956	-59.66	-0.209015	-59.56	-0.209518	-59.56	-0.330124
-59.56	-0.199646	-59.46	-0.0820923	-59.46	-0.234253	-59.46	0.0151672	-59.56	-0.174896	-59.56	-0.155487	-59.46	-0.182922	-59.46	-0.16684
-59.46	-0.102783	-59.36	-0.0512021	-59.36	-0.174469	-59.36	4.64505e-3	-59.46	-0.116302	-59.46	-0.0566775	-59.36	-0.153625	-59.36	-0.108606
-59.36	-0.0339966	-59.26	-0.0762024	-59.26	-0.123322	-59.26	-0.0219421	-59.36	-0.0815125	-59.36	-0.0140686	-59.26	-0.157532	-59.26	-0.13089
-59.26	-0.0332396	-59.16	-0.0429993	-59.16	-0.0889282	-59.16	-0.0113831	-59.26	-0.0862122	-59.26	-0.0515807	-59.16	-0.13916	-59.16	-0.0925903
-59.16	0.023407	-59.06	-0.0406733	-59.06	-0.098321	-59.06	7.36141e-3	-59.16	-0.0721436	-59.16	-0.046875	-59.06	-0.143853	-59.06	-0.0656672
-59.06	0.0202637	-58.96	-0.0410461	-58.96	-0.0975342	-58.96	0.0124207	-59.06	-0.0670776	-59.06	-0.0222778	-58.96	-0.134094	-58.96	-0.0488586
-58.96	0.023407	-58.86	-0.0375631	-58.86	-0.0838623	-58.86	0.0104715	-58.96	-0.0647278	-58.96	-8.60995e-3	-58.86	-0.125916	-58.86	-0.0172079
-58.86	0.0448914	-58.76	-0.0351868	-58.76	-0.0877686	-58.76	1.49536e-3	-58.86	-0.0327148	-58.86	-0.0152588	-58.76	-0.123535	-58.76	0.0101318
-58.76	0.0605159	-58.66	-0.0359802	-58.66	-0.0760498	-58.66	0.0245667	-58.76	-0.0401001	-58.76	-0.0203252	-58.66	-0.105164	-58.66	0.053894
-58.66	0.101166	-58.56	-0.0426316	-58.56	-0.0760484	-58.56	0.0221877	-58.66	-0.0264282	-58.66	-0.0234375	-58.56	-0.10443	-58.56	0.10193
-58.56	0.130035	-58.46	-0.0527649	-58.46	-0.072937	-58.46	0.0151672	-58.56	-0.0327148	-58.56	-0.0183716	-58.46	-0.0922852	-58.46	0.123413
